                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57175,                 0.9525,                 1.1065,                 0.3639,                0.34904,                 0.2963,                0.09379,                 1.9419,                 2.5442,                 2.1906,               0.070227,              0.0033081,              0.0033081
                      1,                0.46271,                0.46921,                0.99207,                0.52026,                0.25874,                0.31525,                0.07629,                 2.2972,                 2.5749,                 2.6686,               0.040194,              0.0066085,              0.0066085
                      2,                0.52759,                0.50072,                 1.0064,                0.08003,                0.11929,                0.04619,                0.01048,                 2.8612,                 3.7837,                 4.1973,               0.010129,               0.009876,               0.009876
                      3,                0.57083,                0.51608,                 1.0259,                0.34419,                0.21355,                0.13881,                0.02539,                 3.0762,                 3.8491,                 3.7127,              0.0098515,              0.0098515,              0.0098515
                      4,                0.55924,                0.49095,                 1.0336,                0.45745,                0.35493,                0.29225,                0.08732,                 2.5226,                 2.7825,                 2.8372,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.5441,                0.46365,                 1.0126,                0.66231,                0.38881,                0.40835,                0.12364,                 2.5848,                  2.132,                 2.8752,               0.009802,               0.009802,               0.009802
                      6,                0.52139,                 0.4433,                 1.0066,                0.24441,                0.17231,                0.11294,                 0.0242,                 3.1604,                 3.7538,                 3.7534,              0.0097525,              0.0097525,              0.0097525
                      7,                0.50333,                0.43637,                0.99682,                0.49981,                0.32253,                0.32161,                0.09146,                 2.7449,                 2.7154,                 3.2682,               0.009703,               0.009703,               0.009703
                      8,                0.49392,                0.42133,                 1.0015,                0.52741,                0.27541,                0.28185,                0.07437,                 2.8858,                 2.9869,                 3.3224,              0.0096535,              0.0096535,              0.0096535
                      9,                0.47939,                0.40371,                 0.9887,                0.38186,                0.33284,                0.32235,                0.08212,                 2.6825,                 2.3113,                 3.1365,               0.009604,               0.009604,               0.009604
                     10,                0.46256,                0.39188,                 0.9842,                0.61008,                0.27688,                0.35097,                0.09086,                 2.6978,                 2.2546,                 3.0232,              0.0095545,              0.0095545,              0.0095545
                     11,                0.45702,                0.38809,                0.97797,                0.52961,                0.35641,                 0.3257,                0.08751,                 2.6993,                 2.4747,                 3.0847,               0.009505,               0.009505,               0.009505
                     12,                0.45374,                0.37743,                0.97391,                0.61386,                 0.2813,                0.31895,                0.07967,                   2.75,                 2.5013,                 3.3071,              0.0094555,              0.0094555,              0.0094555
                     13,                0.44499,                0.37482,                0.96658,                 0.6504,                0.26029,                0.29455,                0.07238,                 3.1213,                 2.7131,                 3.4135,               0.009406,               0.009406,               0.009406
                     14,                0.42501,                0.36054,                0.96472,                0.38136,                0.23859,                0.17732,                0.04238,                  2.875,                 2.7485,                 3.5314,              0.0093565,              0.0093565,              0.0093565
                     15,                0.42821,                0.35263,                0.96342,                0.46908,                0.34168,                0.28849,                0.07832,                 2.7711,                 2.1628,                 3.4579,               0.009307,               0.009307,               0.009307
