                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.19331,                0.15024,                0.85203,                0.64962,                0.41237,                0.43089,                0.15034,                 2.6467,                 2.2692,                 3.1801,               0.070227,              0.0033081,              0.0033081
                      1,                0.22174,                0.17407,                0.86052,                0.67812,                0.32106,                0.37749,                0.11305,                   2.94,                 3.1212,                 3.4968,               0.040183,              0.0065976,              0.0065976
                      2,                0.24925,                0.19651,                0.86479,                0.42009,                0.31075,                0.31071,                0.08171,                 2.6672,                 3.2632,                 3.2514,               0.010096,              0.0098431,              0.0098431
                      3,                0.27547,                0.21951,                0.87945,                0.47901,                0.33175,                0.31182,                0.10957,                 2.7024,                 2.8216,                 2.9827,               0.009802,               0.009802,               0.009802
                      4,                0.28761,                0.23234,                0.88859,                0.50557,                0.35089,                0.37037,                0.09009,                 2.9008,                 2.7342,                 3.7801,               0.009802,               0.009802,               0.009802
                      5,                0.28847,                0.23212,                0.88854,                0.55687,                0.36819,                0.39427,                0.10652,                 2.7583,                 2.4159,                  3.685,               0.009736,               0.009736,               0.009736
                      6,                0.28634,                0.23244,                0.88684,                0.26243,                0.15906,                0.15143,                0.04493,                 2.9367,                 4.1962,                 3.2206,                0.00967,                0.00967,                0.00967
                      7,                0.29205,                0.23943,                0.88664,                0.53574,                0.38579,                0.39966,                0.11696,                 2.6574,                 2.4221,                 3.3922,               0.009604,               0.009604,               0.009604
                      8,                0.28812,                0.23957,                0.89037,                0.48989,                0.28277,                 0.2518,                0.06753,                 2.7073,                 2.9746,                 3.5663,               0.009538,               0.009538,               0.009538
                      9,                0.28419,                0.23495,                0.88628,                0.44902,                0.28445,                0.28042,                0.08896,                 2.7091,                 2.4241,                 3.2297,               0.009472,               0.009472,               0.009472
                     10,                0.28242,                0.23292,                0.88901,                0.64808,                 0.2975,                0.37244,                0.10714,                 2.7154,                 2.3599,                 3.4098,               0.009406,               0.009406,               0.009406
                     11,                0.27645,                0.23081,                0.88757,                0.65434,                0.40426,                0.44132,                0.12896,                 2.5856,                 2.3103,                 3.0579,                0.00934,                0.00934,                0.00934
                     12,                0.28592,                0.23344,                0.88984,                0.61233,                0.37703,                0.36203,                0.09896,                 2.7895,                 2.8156,                 3.3038,               0.009274,               0.009274,               0.009274
                     13,                0.28349,                0.23048,                 0.8829,                0.53306,                0.29602,                 0.3185,                0.06937,                  2.726,                 2.8981,                 3.4707,               0.009208,               0.009208,               0.009208
                     14,                0.28115,                0.23218,                0.88711,                0.44883,                0.21797,                0.23721,                 0.0474,                  2.937,                 3.4741,                 3.4686,               0.009142,               0.009142,               0.009142
                     15,                0.28609,                0.23246,                0.88789,                0.43807,                0.37314,                 0.3256,                 0.0759,                 2.7586,                 2.5121,                 3.0745,               0.009076,               0.009076,               0.009076
                     16,                 0.2796,                0.22809,                0.88433,                0.45544,                0.31286,                0.31056,                0.07034,                 2.6812,                 2.6886,                 3.1476,                0.00901,                0.00901,                0.00901
                     17,                0.27713,                0.22749,                0.88164,                0.40597,                0.26362,                0.25727,                0.04633,                  2.922,                  2.927,                 3.7305,               0.008944,               0.008944,               0.008944
                     18,                 0.2745,                0.22001,                0.88106,                0.54404,                0.39028,                0.35211,                0.08667,                  2.739,                 2.1343,                 3.2472,               0.008878,               0.008878,               0.008878
                     19,                0.27639,                0.21909,                0.88016,                0.35659,                0.28277,                0.23968,                0.04971,                 2.8475,                 2.8258,                 3.8344,               0.008812,               0.008812,               0.008812
                     20,                0.27599,                0.22256,                 0.8849,                0.59951,                 0.2975,                0.34972,                 0.0723,                 2.9416,                 3.0225,                 3.3897,               0.008746,               0.008746,               0.008746
                     21,                 0.2788,                 0.2255,                0.88457,                0.49872,                0.37113,                0.33204,                0.10609,                 2.4846,                 2.5996,                 2.7131,                0.00868,                0.00868,                0.00868
                     22,                 0.2721,                0.22074,                 0.8816,                0.54929,                0.31664,                 0.3187,                0.09071,                  2.776,                 2.5185,                 3.4591,               0.008614,               0.008614,               0.008614
                     23,                0.27079,                 0.2203,                0.88397,                0.53224,                0.35052,                0.36325,                0.12673,                  2.663,                 2.2847,                 3.1354,               0.008548,               0.008548,               0.008548
                     24,                0.27295,                0.22464,                0.88541,                0.52155,                 0.3299,                0.33436,                0.09527,                 2.6127,                 2.4581,                 3.0431,               0.008482,               0.008482,               0.008482
                     25,                0.26823,                0.21828,                0.88477,                0.69249,                0.30512,                0.33985,                0.11551,                 2.7189,                  2.593,                   3.24,               0.008416,               0.008416,               0.008416
                     26,                0.26777,                0.21755,                0.87594,                0.62088,                0.30339,                0.32802,                0.08033,                  2.903,                 2.7405,                 3.5129,                0.00835,                0.00835,                0.00835
                     27,                0.26908,                0.21717,                0.88275,                0.46258,                0.31664,                0.32919,                0.07987,                 2.7398,                 2.8811,                 3.5985,               0.008284,               0.008284,               0.008284
                     28,                0.26305,                0.21716,                0.88198,                0.60111,                0.30928,                0.33835,                0.09782,                 2.7537,                 2.3642,                 3.4093,               0.008218,               0.008218,               0.008218
                     29,                0.26249,                0.21308,                0.87967,                 0.6455,                0.32984,                 0.3761,                0.10434,                 2.8182,                 2.3928,                 3.5322,               0.008152,               0.008152,               0.008152
